,0,1
738,600283,钱江水利
739,688258,卓易信息
740,688030,山石网科
741,600860,*ST京城
742,601598,中国外运
743,603616,韩建河山
744,600889,南京化纤
745,605377,华旺科技
746,603838,四通股份
747,601155,新城控股
748,601137,博威合金
749,603900,莱绅通灵
750,603658,安图生物
751,600768,宁波富邦
752,603722,阿科力
753,603096,新经典
754,600011,华能国际
755,600196,复星医药
756,601666,平煤股份
757,600291,西水股份
758,603129,春风动力
759,603988,中电电机
760,688020,方邦股份
761,600790,轻纺城
762,600567,山鹰国际
763,603029,天鹅股份
764,600266,城建发展
765,688288,鸿泉物联
766,603355,莱克电气
767,603690,至纯科技
768,600329,中新药业
769,600209,ST罗顿
770,600236,桂冠电力
771,600523,贵航股份
772,603233,大参林
773,601702,华峰铝业
774,603660,苏州科达
775,600585,海螺水泥
776,600830,香溢融通
777,600820,隧道股份
778,605166,聚合顺
779,603839,安正时尚
780,600929,雪天盐业
781,600068,葛洲坝
782,600192,长城电工
783,600665,天地源
784,600170,上海建工
785,600661,昂立教育
786,600763,通策医疗
787,603380,易德龙
788,600054,黄山旅游
789,688277,天智航-U
790,600578,京能电力
791,603317,天味食品
792,600875,东方电气
793,603108,润达医疗
794,600502,安徽建工
795,603903,中持股份
796,603053,成都燃气
797,603239,浙江仙通
798,600794,保税科技
799,600388,龙净环保
800,600390,五矿资本
801,600237,铜峰电子
802,600577,精达股份
803,600405,动力源
804,603917,合力科技
805,600273,嘉化能源
806,601368,绿城水务
807,600683,京投发展
808,600008,首创股份
809,688199,久日新材
810,603919,金徽酒
811,600152,维科技术
812,603706,东方环宇
813,603321,梅轮电梯
814,600676,交运股份
815,601989,中国重工
816,603718,海利生物
817,601106,中国一重
818,603283,赛腾股份
819,600265,ST景谷
820,600566,济川药业
821,601231,环旭电子
822,688357,建龙微纳
823,688278,特宝生物
824,601600,中国铝业
825,603589,口子窖
826,601007,金陵饭店
827,600628,新世界
828,600470,*ST六化
829,600056,中国医药
830,600186,莲花健康
831,600939,重庆建工
832,603379,三美股份
833,600062,华润双鹤
834,688160,步科股份
835,601799,星宇股份
836,600269,赣粤高速
837,603882,金域医学
838,600667,太极实业
839,688023,安恒信息
840,601177,杭齿前进
841,603020,爱普股份
842,600479,千金药业
843,603043,广州酒家
844,688096,京源环保
845,601869,长飞光纤
846,600837,海通证券
847,603630,拉芳家化
848,603388,元成股份
849,600781,*ST辅仁
850,600892,*ST大晟
851,600037,歌华有线
852,600033,福建高速
853,601880,大连港
854,600410,华胜天成
855,601228,广州港
856,688029,南微医学
857,600287,江苏舜天
858,603037,凯众股份
859,600867,通化东宝
860,600507,方大特钢
861,688039,当虹科技
862,600386,北巴传媒
863,688398,赛特新材
864,600780,通宝能源
865,605338,巴比食品
866,600858,银座股份
867,600020,中原高速
868,688699,明微电子
869,688386,泛亚微透
870,601226,华电重工
871,688188,柏楚电子
872,600271,航天信息
873,603185,上机数控
874,601668,中国建筑
875,603508,思维列控
876,603813,原尚股份
877,600727,鲁北化工
878,603617,君禾股份
879,688133,泰坦科技
880,600810,神马股份
881,603788,宁波高发
882,600633,浙数文化
883,688099,晶晨股份
884,603022,新通联
885,600862,中航高科
886,600606,绿地控股
887,603806,福斯特
888,601107,四川成渝
889,600415,小商品城
