,0,1
745,000817,辽河油田
746,000816,智慧农业
747,000805,*ST炎黄
748,000792,*ST盐湖
749,000787,*ST创智
750,000778,新兴铸管
751,000769,*ST大菲
752,000765,*ST华信
753,000763,锦州石化
754,000761,本钢板材
755,000760,*ST斯太
756,000751,锌业股份
757,000748,长城信息
758,000730,*ST环保
759,000717,韶钢松山
760,000709,河钢股份
761,000699,S*ST佳纸
762,000693,华泽退
763,000692,惠天热电
764,000689,ST宏业
765,000683,远兴能源
766,000675,ST银山
767,000670,*ST盈方
768,000662,*ST天夏
769,000660,*ST南华
770,000658,ST海洋
771,000653,ST九州
772,000628,高新发展
773,000621,*ST比特
774,000618,吉林化工
775,000616,海航投资
776,000602,金马集团
777,000594,国恒退
778,000588,PT粤金曼
779,000585,*ST东电
780,000583,S*ST托普
781,000578,盐湖集团
782,000569,长城股份
783,000566,海南海药
784,000565,渝三峡Ａ
785,000562,宏源证券
786,000556,PT南洋
787,000549,S湘火炬
788,000542,TCL通讯
789,000535,*ST猴王
790,000527,美的电器
791,000522,白云山A
792,000515,攀渝钛业
793,000511,烯碳退
794,000510,新金路
795,000508,琼民源A
796,000507,珠海港
797,000501,鄂武商Ａ
798,000418,小天鹅A
799,000412,ST五环
800,000406,石油大明
801,000405,ST鑫光
802,000099,中信海直
803,000047,ST中侨
804,000033,新都退
805,000024,招商地产
806,000018,神城A退
807,000015,PT中浩A
808,000013,*ST石化A
809,000005,世纪星源
810,000003,PT金田A
811,300280,紫天科技
812,300059,东方财富
813,002157,正邦科技
814,002275,桂林三金
815,000668,荣丰控股
816,002922,伊戈尔
817,002726,龙大肉食
818,002332,仙琚制药
819,002301,齐心集团
820,000532,华金资本
821,002186,全 聚 德
822,300803,指南针
823,002722,金轮股份
824,300514,友讯达
825,300650,太龙照明
826,002791,坚朗五金
827,002826,易明医药
828,002569,ST步森
829,002801,微光股份
830,000685,中山公用
831,300147,香雪制药
832,002024,苏宁易购
833,002430,杭氧股份
834,300460,惠伦晶体
835,300553,集智股份
836,002841,视源股份
837,002697,红旗连锁
838,300424,航新科技
839,002688,金河生物
840,002233,塔牌集团
841,300537,广信材料
842,002404,嘉欣丝绸
843,300181,佐力药业
844,002412,汉森制药
845,300683,海特生物
846,300253,卫宁健康
847,000615,奥园美谷
848,300651,金陵体育
849,300509,新美星
850,300894,火星人
851,000826,启迪环境
852,300311,任子行
853,002746,仙坛股份
854,300723,一品红
855,002562,兄弟科技
856,002779,中坚科技
857,300257,开山股份
858,000598,兴蓉环境
859,300768,迪普科技
860,300177,中海达
861,002589,瑞康医药
862,300305,裕兴股份
863,300304,云意电气
864,300158,振东制药
865,002729,好利来
866,002830,名雕股份
867,002661,克明面业
868,300772,运达股份
869,002424,贵州百灵
870,002369,卓翼科技
871,002361,神剑股份
872,300522,世名科技
873,002285,世联行
874,002083,孚日股份
875,300546,雄帝科技
876,000715,中兴商业
877,002785,万里石
